City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,tandil,-37.3217,-59.1332,53.98,97,100,9.6,AR,1713836161
182,sisa,-6.6167,-76.6915,73.51,88,33,3.58,PE,1713836161
183,saipan,15.1355,145.701,82.02,72,0,15.7,MP,1713836162
184,hawaiian paradise park,19.5933,-154.9731,74.55,72,5,14.34,US,1713836162
185,nueva gerona,21.8833,-82.8,79.86,63,13,12.08,CU,1713836162
186,zaozersk,69.4005,32.4476,16.84,89,100,10.69,RU,1713836163
187,bahia de kino,28.8333,-111.9333,73.98,57,0,7.07,MX,1713836163
188,amalapuram,16.5833,82.0167,86.59,62,16,2.57,IN,1713836163
189,severo-yeniseyskiy,60.3725,93.0408,27.0,93,100,3.83,RU,1713836163
190,hermanus,-34.4187,19.2345,61.45,85,39,4.79,ZA,1713836163
191,tshabong,-26.05,22.45,71.91,31,0,4.23,BW,1713836164
192,guerrero negro,27.9769,-114.0611,61.57,78,0,15.55,MX,1713836164
193,joal-fadiout,14.1667,-16.8333,68.05,87,8,9.71,SN,1713836164
194,west island,-12.1568,96.8225,81.03,82,100,23.11,CC,1713836164
195,angaur state,6.906,134.13,83.89,78,100,16.37,PW,1713836164
196,tura,25.5198,90.2201,86.25,41,100,5.44,IN,1713836165
197,souillac,-20.5167,57.5167,76.5,88,5,6.33,MU,1713836165
198,mount gambier,-37.8333,140.7667,71.83,25,97,11.12,AU,1713836165
199,sitka,57.0531,-135.33,46.11,70,100,4.07,US,1713836165
200,altar,30.7,-111.8167,84.47,13,20,16.28,MX,1713836165
201,togur,58.3631,82.8265,12.99,60,100,15.57,RU,1713836166
202,al ain city,24.1917,55.7606,84.36,28,100,9.93,AE,1713836166
203,pechora,65.1472,57.2244,14.95,71,4,8.68,RU,1713836166
204,callao,-12.0667,-77.15,69.84,91,90,10.92,PE,1713836166
205,nuriootpa,-34.4833,139.0,75.65,28,100,21.18,AU,1713836166
206,cotija de la paz,19.8167,-102.6833,70.21,32,53,3.78,MX,1713836167
207,bireun,5.203,96.7009,85.21,72,100,1.57,ID,1713836167
208,clinton,42.587,-82.9199,54.82,47,95,12.75,US,1713835884
209,safford,32.834,-109.7076,80.49,21,60,3.51,US,1713836167
210,portlaoise,53.0344,-7.2998,41.97,95,72,6.2,IE,1713836167
211,pong nam ron,12.9058,102.2623,88.75,56,69,8.7,TH,1713836167
212,san miguel,13.4833,-88.1833,79.27,83,46,3.13,SV,1713836168
213,tocopilla,-22.092,-70.1979,68.31,84,64,10.31,CL,1713836168
214,waterloo,43.4668,-80.5164,43.99,65,100,11.16,CA,1713836168
215,kijang,35.2442,129.2139,56.64,71,98,21.25,KR,1713836168
216,iskateley,67.6803,53.1512,2.66,93,47,7.58,RU,1713836168
217,bandarbeyla,9.4942,50.8122,81.79,82,20,4.63,SO,1713836169
218,mikumi,-7.4041,36.9831,70.12,98,100,3.18,TZ,1713836169
219,aldan,58.6031,125.3894,34.77,100,100,2.66,RU,1713836169
220,liuduzhai,27.3661,110.935,71.11,79,96,0.92,CN,1713836169
221,egilsstadir,65.2653,-14.3948,39.74,59,0,1.88,IS,1713836169
222,hua hin,12.5707,99.9588,89.38,58,33,6.71,TH,1713836170
223,bafoulabe,13.8065,-10.8321,90.79,18,6,5.26,ML,1713836170
224,miri,4.4148,114.0089,87.03,67,80,2.13,MY,1713836170
225,wailua homesteads,22.0669,-159.378,74.34,66,2,13.87,US,1713836170
226,timbuktu,16.7735,-3.0074,85.75,21,3,2.46,ML,1713836170
227,tabas,33.5959,56.9244,71.24,40,100,3.78,IR,1713836171
228,talnakh,69.4865,88.3972,2.25,85,87,3.51,RU,1713836171
229,ishigaki,24.3448,124.1572,79.97,82,86,21.14,JP,1713836171
230,mangalia,43.8,28.5833,51.89,86,100,8.66,RO,1713836171
231,hailar,49.2,119.7,49.75,37,0,18.81,CN,1713836116
232,beohari,24.05,81.3833,84.42,43,0,10.98,IN,1713836172
233,labrador city,52.9463,-66.9114,4.69,75,100,19.51,CA,1713836172
234,ribeira grande,38.5167,-28.7,58.98,87,100,21.25,PT,1713836172
235,qamdo,31.1667,97.2333,38.61,64,100,4.56,CN,1713836172
236,bahar,34.9072,48.4414,51.33,78,100,7.92,IR,1713836173
237,la passe,45.5549,-0.8967,45.39,72,100,6.02,FR,1713836173
